identifier,γίγνομαι_ὅς_πολύς_πρότερος_πόλις_ἄλλος_οἰκέω,ἄλλος_δ_ὡς_τις_ἀθηναίων_πείθω_πέμπω,τεῖχος_τις_πρός_πόλις_πολύς_ἄλλος_ἔχω,σύμμαχος_σπονδή_πόλεμος_πρός_ποιέω_γίγνομαι_σφεῖς,ἀθηναῖοι_ἀναχωρέω_ἐπ_οἶκος_δ_τις_ναῦς,ναῦς_πλέω_ὡς_ὅς_ἀθηναῖοι_πρός_ἅμα,ὁπλίτης_ἀθηναίων_ναῦς_δ_σύμμαχος_ἄλλος_ἔχω,τις_ὅς_ἄλλος_πρός_ἔχω_νῦν_ὅστις,ὡς_πολύς_ἄλλος_πρός_ἀθηναῖοι_ἦδος_χωρέω,πολύς_ἄλλος_ναῦς_ἔχω_μέγας_πρός_πᾶς,ὡς_τις_λέγω_ἄλλος_γίγνομαι_ὅστις_σφεῖς,τις_ὅς_γίγνομαι_ἄλλος_πολύς_ὡς_μᾶλλον
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.1.1.1,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.403846153846154,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.527915632754342,0.0626550868486352,0.000620347394540943
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.1.2.2,0.587890625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.197265625,0.001953125,0.001953125,0.197265625,0.001953125
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.1.3.3,0.110745614035088,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.878289473684211
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.1.4,0.49384236453202,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.49384236453202,0.00123152709359606,0.00123152709359606
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.2.5,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.026673640167364,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.209728033472803,0.000523012552301255,0.758891213389121,0.000523012552301255,0.000523012552301255
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.3.6,0.678571428571429,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.062807881773399,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.247536945812808
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.4.7,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.35252808988764,0.00140449438202247,0.282303370786517,0.00140449438202247,0.35252808988764
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.5.8,0.80448717948718,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.163461538461538,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.6.9,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.96474358974359,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.6.10,0.441262848751836,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.257709251101322,0.294419970631424,0.000734214390602056
