term,εἰς_ναῦς_αὐτός_ἀθηναῖοι_πόλις_οὗτος_ὡς,αὐτός_εἰς_ὡς_τις_γίγνομαι_βούλομαι_σφεῖς,αὐτός_εἰς_ἄλλος_πολύς_ἔχω_οὗτος_ὅς,αὐτός_εἰς_πολύς_γίγνομαι_οὗτος_οὐδείς_τις,εἰς_αὐτός_πρός_τεῖχος_τις_πολύς_πόλις,εἰς_ναῦς_αὐτός_πλέω_οὗτος_ἄλλος_ὡς,εἰς_αὐτός_τις_ὅς_πρός_ἔχω_οὗτος,αὐτός_εἰς_σύμμαχος_οὗτος_σπονδή_ποιέω_σφεῖς,εἰς_αὐτός_οὗτος_γίγνομαι_θέρος_τελευτάω_σύμμαχος,αὐτός_εἰς_ὁπλίτης_ἀθηναίων_ἄλλος_ἱππεύς_σύμμαχος,εἰς_αὐτός_οὗτος_πολύς_ἄλλος_γίγνομαι_πόλις,αὐτός_εἰς_ὡς_ἄλλος_λέγω_τις_δῆμος
ἐκεῖνος,0.0018937180800242,0.00880912545468093,0.00557203779057268,0.00259798145083984,0.000895565054649568,2.45421658952246e-06,0.00423831234319911,0.00495854745820435,4.3963387291064e-06,4.19178242972477e-06,0.00175683255944405,0.00745139831892329
οὐδείς,3.43687491837422e-06,0.00525296177632069,0.00332446028823716,0.0134356244008768,0.00212389617698688,2.45421658952246e-06,0.00437722785756159,0.00343362256075555,4.3963387291064e-06,4.19178242972477e-06,3.89541587459877e-06,0.006162229059594
μάλιστα,0.000862655604511929,3.38682255081927e-06,0.00293357724435272,0.00366648145999841,0.00580888954399882,2.45421658952246e-06,0.0045856011291053,2.541541495748e-06,0.000883664084550386,0.00817816752039302,0.00292545732182368,0.0090270496358813
ἀνήρ,0.00601796798207326,0.00339020937337009,1.9544152194222e-06,0.000613624290973922,0.00324056083365717,0.00319293578296872,0.00409939682883664,0.00750008895395235,4.3963387291064e-06,4.19178242972477e-06,3.89541587459877e-06,0.00888380860706694
πάρειμι,3.43687491837422e-06,0.00779307868943515,0.00303129800532383,0.00137683858323005,2.23332931334057e-06,0.00503359822511056,0.00368265028574921,0.00292531426160595,0.00242238263973763,0.00251926124026459,3.89541587459877e-06,0.00874056757825258
νομίζω,3.43687491837422e-06,0.00745439643435322,0.00430166789794826,0.00442969575225453,2.23332931334057e-06,2.45421658952246e-06,0.00576638300118634,0.00737301187916495,4.3963387291064e-06,4.19178242972477e-06,3.89541587459877e-06,0.00329740848330669
ἐπεί,0.00687718671166682,0.00863978432713997,0.00195636963464162,0.00137683858323005,0.00458055842166151,0.0025793816355881,0.000557051212593525,0.00356069963554295,0.00330165038555891,4.19178242972477e-06,3.89541587459877e-06,0.00673519317485146
ἄρχω,3.43687491837422e-06,0.000850092460255637,0.0047902717028038,3.05285716902449e-06,0.00312889436799014,0.0089603447683465,0.00257132617084941,0.00533977868256655,0.00835743992403127,4.19178242972477e-06,3.89541587459877e-06,0.00100555202227684
ἔρχομαι,0.00309662430145517,3.38682255081927e-06,0.0047902717028038,3.05285716902449e-06,0.002570562039655,0.00478817656615832,0.0012516287844059,0.00432316208426735,0.00659890443238871,0.00377679596918202,3.89541587459877e-06,0.00659195214603709
νῦν,3.43687491837422e-06,3.38682255081927e-06,0.00948086822941708,3.05285716902449e-06,0.000672232123315511,0.000125165046065645,0.00819740450252965,0.000637926915432748,4.3963387291064e-06,4.19178242972477e-06,0.00915812272118171,2.86482057628731e-06
καθίστημι,0.00361215553921131,3.38682255081927e-06,0.0047902717028038,0.00595612433676678,0.00167723031431877,2.45421658952246e-06,0.00375210804293045,0.00330654548596815,0.00330165038555891,0.00168090475431963,3.89541587459877e-06,0.00544602391552217
ἀθηναίους,0.000690811858593218,0.0047449383936978,0.00322673952726605,0.00290326716774229,0.00268222850532202,0.00122956251135075,0.00146000205594961,0.0122019407210862,0.00418091813138019,4.19178242972477e-06,3.89541587459877e-06,0.00114879305109121
εὐθύς,0.00447137426880486,0.00711571417927129,0.00146776582978607,0.00381912431844964,0.00279389497098905,0.00454275490720607,1.38915514362475e-06,0.00241700596245635,0.00791780605112063,0.00251926124026459,3.89541587459877e-06,0.00358389054093542
λέγω,3.43687491837422e-06,0.00609966741402551,1.9544152194222e-06,0.00336119574309596,2.23332931334057e-06,2.45421658952246e-06,0.00437722785756159,0.00279823718681855,4.3963387291064e-06,4.19178242972477e-06,0.00136729097198417,0.0157593779901565
ἀλλ,3.43687491837422e-06,0.00372889162845202,0.00586520007348601,0.00534555290296188,2.23332931334057e-06,0.000984140852398506,0.00493288991501149,0.00394193085990515,4.3963387291064e-06,4.19178242972477e-06,0.00117252017825423,0.0024379623104205
πολέμιος,0.00172187433410548,0.00355955050091106,0.00635380387834156,0.00763519577973025,0.00234722910832094,2.45421658952246e-06,0.00333536149984303,0.00317946841118075,4.3963387291064e-06,4.19178242972477e-06,3.89541587459877e-06,0.000575828935833749
ὕστερος,0.00722087420350424,0.00254350373566527,1.9544152194222e-06,0.00320855288464474,0.00134223091731768,0.00466546573668219,1.38915514362475e-06,0.00292531426160595,0.00198274876682699,0.00272885036175082,0.00974243510237153,0.0024379623104205
λόγος,0.00103449935043064,0.00237416260812431,1.9544152194222e-06,0.00412441003535209,2.23332931334057e-06,2.45421658952246e-06,0.00778065795944223,0.00495854745820435,4.3963387291064e-06,4.19178242972477e-06,3.89541587459877e-06,0.00458657774263598
χωρέω,0.00567428049023584,0.000680751332714674,0.00156548659075718,0.00610876719521801,0.00815388532300642,2.45421658952246e-06,1.38915514362475e-06,2.541541495748e-06,0.00198274876682699,0.00692063279147559,0.00214637414690392,0.00143527510871994
ἕκαστος,0.00361215553921131,3.38682255081927e-06,0.00488799246377491,0.00610876719521801,0.000225566260647398,2.45421658952246e-06,0.00361319252856798,2.541541495748e-06,0.00132329795746103,0.00608227630553064,0.00273068652809374,0.00186499819516304
παρασκευάζω,0.00240924931778033,0.0028821859907472,0.0037153433321216,0.00183476715858372,0.002570562039655,0.00761052564410914,0.00132108654158714,2.541541495748e-06,0.00396110119492487,0.00398638509066825,3.89541587459877e-06,2.86482057628731e-06
ἐπ,0.0116888115973907,0.0028821859907472,0.00224953191755495,0.00168212430013249,0.00145389738298471,0.00172040582925524,0.00159891757031209,0.000510849840645348,0.00703853830529935,0.00168090475431963,3.89541587459877e-06,0.000719069964648114
ὀλίγος,0.00258109306369904,3.38682255081927e-06,0.00146776582978607,0.00824576721353515,0.00424555902466042,0.00172040582925524,0.00229349514212446,2.541541495748e-06,0.00176293183037167,0.00566309806255816,0.00273068652809374,2.86482057628731e-06
πείθω,0.000175280620837085,0.00508362064877973,1.9544152194222e-06,3.05285716902449e-06,2.23332931334057e-06,0.00356106827139709,0.00277969944239313,0.00610224113129095,0.00176293183037167,4.19178242972477e-06,3.89541587459877e-06,0.00859732654943821
λακεδαιμόνιοι,3.43687491837422e-06,3.38682255081927e-06,1.9544152194222e-06,0.00198741001703494,0.000337232726314426,0.00073871919344626,0.00173783308467456,0.0109311699732122,0.00967634154276319,0.00272885036175082,0.00214637414690392,0.00129203407990558
τεῖχος,0.00515874925247971,3.38682255081927e-06,0.00107688278590163,3.05285716902449e-06,0.0173105355077028,2.45421658952246e-06,1.38915514362475e-06,0.00140038936415715,4.3963387291064e-06,4.19178242972477e-06,3.89541587459877e-06,2.86482057628731e-06
λαμβάνω,0.00756456169534166,0.00322086824582913,0.000685999742017191,0.00244533859238862,0.00301722790232311,0.00221124914715974,0.0018072908418558,2.541541495748e-06,4.3963387291064e-06,0.00440556333364073,3.89541587459877e-06,0.00401361362737852
πηρός,0.000518968112674507,0.00542230290386166,0.00117460354687274,0.00214005287548617,0.00312889436799014,0.00294751412401647,0.00284915719957436,0.00203577473809415,4.3963387291064e-06,4.19178242972477e-06,0.000198666209604537,0.00501630082907908
πέμπω,3.43687491837422e-06,0.00118877471533756,0.0017609281126994,3.05285716902449e-06,0.000672232123315511,0.00945118808625099,1.38915514362475e-06,0.00394193085990515,4.3963387291064e-06,4.19178242972477e-06,0.00175683255944405,0.00802436243418075
ἀθηναίοις,3.43687491837422e-06,0.0047449383936978,0.00215181115658384,0.00152948144168127,0.00223556264265391,0.00282480329454035,1.38915514362475e-06,0.00737301187916495,0.00352146732201423,0.00105213738986092,3.89541587459877e-06,0.00301092642567796
ἀφικνέομαι,0.00584612423615455,3.38682255081927e-06,1.9544152194222e-06,3.05285716902449e-06,0.00190056324565282,0.00650612817882404,0.000279220183868575,0.00101915813979495,0.00506018587720147,0.00230967211877835,0.00214637414690392,0.00472981877145034
δέω,3.43687491837422e-06,3.38682255081927e-06,0.00391078485406382,0.00229269573393739,0.000672232123315511,0.0030702249534926,0.00271024168521189,0.00470439330862955,4.3963387291064e-06,0.00566309806255816,3.89541587459877e-06,0.000719069964648114
πράσσω,3.43687491837422e-06,0.00322086824582913,0.00244497343949717,3.05285716902449e-06,2.23332931334057e-06,0.00196582748820749,0.00312698822829931,0.00305239133639335,4.3963387291064e-06,4.19178242972477e-06,0.00428885287793325,0.0057325059731509
μέλλω,3.43687491837422e-06,0.00440625613861587,0.00332446028823716,3.05285716902449e-06,0.00201222971131985,0.00380648993034933,0.00305753047111808,2.541541495748e-06,0.00330165038555891,4.19178242972477e-06,3.89541587459877e-06,0.00301092642567796
χρόνος,0.00240924931778033,3.38682255081927e-06,1.9544152194222e-06,0.00458233861070576,2.23332931334057e-06,0.00233395997663586,0.00187674859903704,0.000765003990220148,0.00857725686048659,4.19178242972477e-06,0.00721041478388233,0.00186499819516304
θάλασσα,0.00653349921982939,3.38682255081927e-06,0.00244497343949717,3.05285716902449e-06,0.0084888847200075,0.00122956251135075,1.38915514362475e-06,2.541541495748e-06,4.3963387291064e-06,4.19178242972477e-06,0.00662610240269251,2.86482057628731e-06
ὁπλίτης,0.000518968112674507,3.38682255081927e-06,0.000197395937161642,0.000918910007876371,0.00368722669632528,0.00245667080611198,1.38915514362475e-06,2.541541495748e-06,0.000444030211639746,0.0238973516318609,3.89541587459877e-06,2.86482057628731e-06
λακεδαιμονίων,3.43687491837422e-06,3.38682255081927e-06,0.00137004506881496,0.00122419572477882,2.23332931334057e-06,0.00159769499977912,0.000557051212593525,0.00864378262703895,0.0109952431614951,0.00377679596918202,3.89541587459877e-06,2.86482057628731e-06
ὁράω,3.43687491837422e-06,0.00677703192418936,0.00137004506881496,0.00885633864734005,0.00357556023065825,0.00110685168187463,0.0018072908418558,2.541541495748e-06,4.3963387291064e-06,4.19178242972477e-06,3.89541587459877e-06,2.86482057628731e-06
γνώμη,3.43687491837422e-06,0.00423691501107491,0.00293357724435272,0.00320855288464474,2.23332931334057e-06,2.45421658952246e-06,0.00465505888628654,2.541541495748e-06,0.000663847148095066,4.19178242972477e-06,3.89541587459877e-06,0.00415685465619288
ἡμέρα,0.00739271794942295,0.00643834966910744,1.9544152194222e-06,0.00259798145083984,0.00279389497098905,0.00331564661244484,1.38915514362475e-06,2.541541495748e-06,0.00286201651264827,0.00251926124026459,3.89541587459877e-06,2.86482057628731e-06
κρατέω,0.00687718671166682,0.00118877471533756,0.00527887550765935,0.00214005287548617,0.00312889436799014,2.45421658952246e-06,0.00118217102722466,2.541541495748e-06,4.3963387291064e-06,0.00063295914688844,0.00234114494063386,2.86482057628731e-06
γαῖα,0.0113451241055533,3.38682255081927e-06,0.00146776582978607,0.00244533859238862,0.00212389617698688,0.000616008363970137,1.38915514362475e-06,0.00165454351373195,0.00418091813138019,4.19178242972477e-06,0.00370454049674343,2.86482057628731e-06
ὅπως,3.43687491837422e-06,0.00169679809796046,0.00156548659075718,3.05285716902449e-06,0.00525055721566368,0.00650612817882404,0.00132108654158714,0.00254408303724375,4.3963387291064e-06,0.00147131563283339,3.89541587459877e-06,2.86482057628731e-06
στρατία,0.00309662430145517,0.00508362064877973,0.00117460354687274,3.05285716902449e-06,0.00290556143665608,0.00724239315568078,1.38915514362475e-06,2.541541495748e-06,0.00571963668656743,4.19178242972477e-06,3.89541587459877e-06,2.86482057628731e-06
ὥσπερ,3.43687491837422e-06,0.00186613922550142,0.0047902717028038,3.05285716902449e-06,0.00234722910832094,0.00184311665873137,0.000904339998499712,0.00228992888766895,0.00418091813138019,0.00210008299729211,3.89541587459877e-06,0.0020082392239774
τοιοῦτος,3.43687491837422e-06,0.00694637305173033,1.9544152194222e-06,0.00656669577057168,2.23332931334057e-06,2.45421658952246e-06,0.00361319252856798,2.541541495748e-06,4.3963387291064e-06,4.19178242972477e-06,0.000198666209604537,0.00387037259856415
βασιλεύς,3.43687491837422e-06,3.38682255081927e-06,0.000588278981046081,3.05285716902449e-06,2.23332931334057e-06,2.45421658952246e-06,1.38915514362475e-06,0.00546685575735395,0.0140726802718696,4.19178242972477e-06,0.00448362367166319,0.00387037259856415
μάχη,0.00481506176064228,0.00389823275599298,0.00127232430784385,0.00305591002619351,0.00290556143665608,2.45421658952246e-06,1.38915514362475e-06,2.541541495748e-06,0.00462055200429083,0.00566309806255816,3.89541587459877e-06,0.000432587907019383
τότε,3.43687491837422e-06,3.38682255081927e-06,0.00156548659075718,0.0010715528663276,0.00078389858898254,0.00233395997663586,0.00146000205594961,0.00203577473809415,0.00286201651264827,4.19178242972477e-06,0.00448362367166319,0.00558926494433654
ἀφεστήξω,3.43687491837422e-06,3.38682255081927e-06,0.00293357724435272,3.05285716902449e-06,2.23332931334057e-06,0.00589257403144342,0.00194620635621828,0.00394193085990515,0.00440073506783551,4.19178242972477e-06,3.89541587459877e-06,2.86482057628731e-06
αἱρέω,0.00756456169534166,3.38682255081927e-06,1.9544152194222e-06,3.05285716902449e-06,0.00469222488732854,2.45421658952246e-06,0.000695966726956,2.541541495748e-06,0.00571963668656743,0.0031480286047233,3.89541587459877e-06,0.00258120333923486
ἀλλήλων,3.43687491837422e-06,3.38682255081927e-06,0.0027381357224105,0.00809312435508392,0.00268222850532202,2.45421658952246e-06,0.000626508969774762,0.00432316208426735,4.3963387291064e-06,4.19178242972477e-06,0.00136729097198417,2.86482057628731e-06
σπονδή,3.43687491837422e-06,3.38682255081927e-06,1.9544152194222e-06,3.05285716902449e-06,2.23332931334057e-06,2.45421658952246e-06,1.38915514362475e-06,0.0190641027596058,0.00110348102100571,4.19178242972477e-06,3.89541587459877e-06,2.86482057628731e-06
χράω,3.43687491837422e-06,3.38682255081927e-06,0.00332446028823716,0.00397176717690086,0.00301722790232311,0.00122956251135075,0.00264078392803065,2.541541495748e-06,4.3963387291064e-06,4.19178242972477e-06,0.00389931129047337,2.86482057628731e-06
στρατηγός,3.43687491837422e-06,0.00559164403140262,0.000295116698132752,3.05285716902449e-06,2.23332931334057e-06,0.00429733324825383,1.38915514362475e-06,2.541541495748e-06,4.3963387291064e-06,0.00608227630553064,3.89541587459877e-06,0.00759463934773765
διαφθείρω,0.00412768677696744,0.000172727950091783,1.9544152194222e-06,0.00442969575225453,0.00703722066633613,2.45421658952246e-06,0.00166837532749333,2.541541495748e-06,4.3963387291064e-06,0.00230967211877835,3.89541587459877e-06,2.86482057628731e-06
δύναμαι,0.000862655604511929,0.00271284486320624,0.00224953191755495,0.00366648145999841,0.00268222850532202,0.00208853831768361,0.00187674859903704,0.00178162058851935,4.3963387291064e-06,4.19178242972477e-06,3.89541587459877e-06,2.86482057628731e-06
ἔργον,3.43687491837422e-06,3.38682255081927e-06,0.00205409039561273,0.00458233861070576,0.000895565054649568,2.45421658952246e-06,0.00597475627273005,0.000637926915432748,4.3963387291064e-06,4.19178242972477e-06,3.89541587459877e-06,2.86482057628731e-06
γῆ,0.00945484290044748,3.38682255081927e-06,0.00234725267852606,0.00152948144168127,0.0017888967799858,2.45421658952246e-06,1.38915514362475e-06,0.00101915813979495,4.3963387291064e-06,4.19178242972477e-06,0.00682087319642245,2.86482057628731e-06
πλεῖστος,0.00120634309634935,3.38682255081927e-06,1.9544152194222e-06,0.00244533859238862,0.00201222971131985,0.00270209246506423,0.0029186149567556,2.541541495748e-06,4.3963387291064e-06,0.000423370025402202,0.00798949795880208,2.86482057628731e-06
τυγχάνω,3.43687491837422e-06,0.000680751332714674,1.9544152194222e-06,0.00168212430013249,0.00301722790232311,0.00319293578296872,0.00312698822829931,0.000892081065007548,4.3963387291064e-06,0.0031480286047233,0.00117252017825423,0.00100555202227684
χρῆμα,3.43687491837422e-06,3.38682255081927e-06,0.0057674793125149,3.05285716902449e-06,2.23332931334057e-06,0.00343835744192096,0.000487593455412287,2.541541495748e-06,4.3963387291064e-06,4.19178242972477e-06,0.00428885287793325,0.00458657774263598
εἶπον,3.43687491837422e-06,0.00914780770976286,1.9544152194222e-06,3.05285716902449e-06,2.23332931334057e-06,2.45421658952246e-06,0.00187674859903704,0.00203577473809415,4.3963387291064e-06,4.19178242972477e-06,3.89541587459877e-06,0.00687843420366582
οὕτως,3.43687491837422e-06,0.000342069077632747,0.00205409039561273,0.00504026718605943,0.000560565657648483,2.45421658952246e-06,0.00222403738494323,0.00190869766330675,0.00571963668656743,4.19178242972477e-06,0.00195160335317398,2.86482057628731e-06
εἷς,0.00240924931778033,3.38682255081927e-06,0.00146776582978607,0.00183476715858372,0.00201222971131985,0.00454275490720607,0.00139054429876838,2.541541495748e-06,4.3963387291064e-06,0.00168090475431963,0.00292545732182368,0.000432587907019383
πλείων,0.00258109306369904,3.38682255081927e-06,0.0037153433321216,0.00275062430929107,0.00201222971131985,0.00172040582925524,0.00132108654158714,0.000129618616283148,4.3963387291064e-06,0.00105213738986092,3.89541587459877e-06,0.00186499819516304
ἀναχωρέω,0.0110014366137159,0.00169679809796046,1.9544152194222e-06,0.000155695715620249,0.00212389617698688,2.45421658952246e-06,1.38915514362475e-06,0.00228992888766895,0.00549981975011211,4.19178242972477e-06,0.000588207797064415,2.86482057628731e-06
δύναμις,3.43687491837422e-06,0.00169679809796046,0.00420394713697715,0.00244533859238862,2.23332931334057e-06,2.45421658952246e-06,0.00472451664346778,2.541541495748e-06,0.000224213275184426,4.19178242972477e-06,3.89541587459877e-06,2.86482057628731e-06
κελεύω,3.43687491837422e-06,0.00677703192418936,0.000490558220074971,3.05285716902449e-06,2.23332931334057e-06,0.00343835744192096,1.38915514362475e-06,0.00508562453299175,4.3963387291064e-06,4.19178242972477e-06,3.89541587459877e-06,0.00358389054093542
ναυτικός,0.00120634309634935,0.000680751332714674,0.00752645300999488,0.00137683858323005,2.23332931334057e-06,0.00356106827139709,1.38915514362475e-06,2.541541495748e-06,4.3963387291064e-06,0.000213780903915963,0.00214637414690392,2.86482057628731e-06
